"","FIPS","ADI_STATERNK"
"1",370630001011,4
"2",370630001012,5
"3",370630001021,6
"4",370630001022,4
"5",370630002001,2
"6",370630002002,2
"7",370630002003,2
"8",370630003011,7
"9",370630003012,2
"10",370630003013,1
"11",370630003021,1
"12",370630003022,1
"13",370630003023,1
"14",370630004011,2
"15",370630004012,1
"16",370630004013,1
"17",370630004021,2
"18",370630005001,NA
"19",370630005002,1
"20",370630005003,6
"21",370630005004,8
"22",370630006001,2
"23",370630006002,2
"24",370630006003,1
"25",370630007001,1
"26",370630007002,1
"27",370630007003,1
"28",370630009001,9
"29",370630009002,8
"30",370630010011,8
"31",370630010012,9
"32",370630010013,10
"33",370630010021,10
"34",370630010022,10
"35",370630010023,9
"36",370630010024,9
"37",370630011001,7
"38",370630011002,7
"39",370630013011,10
"40",370630013031,NA
"41",370630013032,8
"42",370630013041,8
"43",370630014001,10
"44",370630014002,10
"45",370630015011,NA
"46",370630015021,4
"47",370630015022,4
"48",370630015023,4
"49",370630015024,4
"50",370630015031,NA
"51",370630016011,3
"52",370630016012,3
"53",370630016013,4
"54",370630016031,3
"55",370630016032,3
"56",370630016033,5
"57",370630016034,1
"58",370630016041,2
"59",370630016042,2
"60",370630016043,2
"61",370630017051,3
"62",370630017052,2
"63",370630017053,6
"64",370630017061,2
"65",370630017062,3
"66",370630017071,2
"67",370630017072,2
"68",370630017073,2
"69",370630017074,2
"70",370630017075,1
"71",370630017081,5
"72",370630017091,4
"73",370630017092,10
"74",370630017093,9
"75",370630017101,5
"76",370630017102,6
"77",370630017111,4
"78",370630017112,5
"79",370630017113,9
"80",370630018011,4
"81",370630018012,7
"82",370630018013,7
"83",370630018014,5
"84",370630018015,5
"85",370630018021,7
"86",370630018022,7
"87",370630018023,8
"88",370630018024,5
"89",370630018061,7
"90",370630018062,4
"91",370630018071,6
"92",370630018072,3
"93",370630018073,4
"94",370630018081,3
"95",370630018082,2
"96",370630018091,5
"97",370630018092,2
"98",370630019001,1
"99",370630019002,2
"100",370630020071,2
"101",370630020072,2
"102",370630020073,3
"103",370630020081,1
"104",370630020082,1
"105",370630020091,7
"106",370630020092,9
"107",370630020093,8
"108",370630020131,3
"109",370630020132,3
"110",370630020133,2
"111",370630020151,4
"112",370630020152,3
"113",370630020153,3
"114",370630020161,3
"115",370630020162,3
"116",370630020171,1
"117",370630020172,2
"118",370630020173,2
"119",370630020181,1
"120",370630020182,4
"121",370630020183,1
"122",370630020191,2
"123",370630020192,1
"124",370630020193,1
"125",370630020201,1
"126",370630020202,1
"127",370630020211,2
"128",370630020212,2
"129",370630020221,3
"130",370630020222,3
"131",370630020231,2
"132",370630020232,2
"133",370630020241,2
"134",370630020242,2
"135",370630020243,5
"136",370630020251,2
"137",370630020252,3
"138",370630020253,3
"139",370630020261,5
"140",370630020262,4
"141",370630020271,2
"142",370630020272,2
"143",370630020273,3
"144",370630020281,2
"145",370630020282,1
"146",370630020283,3
"147",370630021001,2
"148",370630021002,NA
"149",370630021003,2
"150",370630022001,1
"151",370630023001,NA
"152",370630023002,8
"153",370639801001,NA
