"","fips","ccvi"
"1",37063000101,0.940011914492734
"2",37063000102,0.947423837297904
"3",37063000200,0.805101065377315
"4",37063000301,0.868469541846192
"5",37063000302,0.671229270860753
"6",37063000401,0.259278757567781
"7",37063000402,0.448760754215098
"8",37063000500,0.967858577742065
"9",37063000600,0.837561131045566
"10",37063000700,0.643562710408556
"11",37063000900,0.979399010820022
"12",37063001001,0.994236710491681
"13",37063001002,0.98927695653981
"14",37063001100,0.994638478269905
"15",37063001301,0.987628323242959
"16",37063001303,0.697302614261371
"17",37063001304,0.997007522755296
"18",37063001400,0.976087890165002
"19",37063001501,0.321150995414306
"20",37063001502,0.985023759715161
"21",37063001503,NA
"22",37063001601,0.455452265831729
"23",37063001603,0.3561740624264
"24",37063001604,0.138596029426026
"25",37063001705,0.779554176306784
"26",37063001706,0.519388758814647
"27",37063001707,0.476732104016292
"28",37063001708,0.917845416383813
"29",37063001709,0.992324850029786
"30",37063001710,0.930369487815353
"31",37063001711,0.811446225460994
"32",37063001801,0.737299289286654
"33",37063001802,0.97617101453291
"34",37063001806,0.428118202851166
"35",37063001807,0.937836826865796
"36",37063001808,0.442069242598468
"37",37063001809,0.587356783641124
"38",37063001900,0.241282331915601
"39",37063002007,0.509483104972223
"40",37063002008,0.209611947742481
"41",37063002009,0.964589019270999
"42",37063002013,0.484421108047824
"43",37063002015,0.981532536263006
"44",37063002016,0.907801221928208
"45",37063002017,0.336681398151868
"46",37063002018,0.474279935162993
"47",37063002019,0.234604674360289
"48",37063002020,0.332469763511173
"49",37063002021,0.691677865366232
"50",37063002022,0.734473060777767
"51",37063002023,0.564303625607847
"52",37063002024,0.295811917263546
"53",37063002025,0.597719621507045
"54",37063002026,0.926448788462338
"55",37063002027,0.775273271359499
"56",37063002028,0.356492705836716
"57",37063002100,0.544450755739045
"58",37063002200,0.743852260290104
"59",37063002300,0.961804352946066
"60",37063980100,NA
