"","fips","sviscore"
"1",37063000101,0.80800003
"2",37063000102,0.85470003
"3",37063000200,0.57059997
"4",37063000301,0.70480001
"5",37063000302,0.33919999
"6",37063000401,0.0217
"7",37063000402,0.1083
"8",37063000500,0.86669999
"9",37063000600,0.55809999
"10",37063000700,0.29890001
"11",37063000900,0.85930002
"12",37063001001,0.96619999
"13",37063001002,0.97549999
"14",37063001100,0.99440002
"15",37063001301,0.83759999
"16",37063001303,0.59320003
"17",37063001304,0.9903
"18",37063001400,0.90469998
"19",37063001501,0.41370001
"20",37063001502,0.85750002
"21",37063001503,NA
"22",37063001601,0.20819999
"23",37063001603,0.1934
"24",37063001604,0.0162
"25",37063001705,0.63910002
"26",37063001706,0.2739
"27",37063001707,0.2342
"28",37063001708,0.82969999
"29",37063001709,0.98799998
"30",37063001710,0.75099999
"31",37063001711,0.70109999
"32",37063001801,0.65850002
"33",37063001802,0.97640002
"34",37063001806,0.30219999
"35",37063001807,0.61680001
"36",37063001808,0.2008
"37",37063001809,0.4637
"38",37063001900,0.063900001
"39",37063002007,0.14669999
"40",37063002008,0.0019
"41",37063002009,0.94489998
"42",37063002013,0.1212
"43",37063002015,0.86119998
"44",37063002016,0.66909999
"45",37063002017,0.2129
"46",37063002018,0.2272
"47",37063002019,0.037
"48",37063002020,0.051399998
"49",37063002021,0.45860001
"50",37063002022,0.3813
"51",37063002023,0.19760001
"52",37063002024,0.039299998
"53",37063002025,0.37020001
"54",37063002026,0.7834
"55",37063002027,0.60759997
"56",37063002028,0.1425
"57",37063002100,0.317
"58",37063002200,0.44980001
"59",37063002300,0.95370001
"60",37063980100,NA
